STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
PUNJAB,AMRITSAR,30.4,29,35.4,20.9,17.1,43.1,211.4,194.1,89,28.7,7.6,15,721.7
PUNJAB,BATHINDA,11.5,17.4,13,8,9.7,33.5,109.6,115.4,62.5,19.2,2.7,5.4,407.9
PUNJAB,FEROZEPUR,15.7,14.5,21.3,9.3,15.4,31.3,128.4,124.7,67.9,12.3,5.1,9.7,455.6
PUNJAB,GURDASPUR,60,49.9,53.8,25.7,21.3,57.1,324.6,319.9,126.2,37.2,11,25.8,1112.5
PUNJAB,HOSHIARPUR,38.4,39.8,39.8,16,20.4,74.9,275.7,241.5,125.8,31.5,9.3,20,933.1
PUNJAB,JALANDHAR,28.6,28.6,30.7,13.7,20.2,48.5,203.9,188.1,111,21.9,7.3,16.6,719.1
PUNJAB,KAPURTHALA,27.6,21,25.8,9.5,14.1,37.1,166.3,136.5,82.7,31.4,5.4,10.6,568
PUNJAB,LUDHIANA,24.3,26.1,26.5,12.1,16.6,51.2,203,178.3,101.7,25.7,5.4,14.7,685.6
PUNJAB,PATIALA,26.7,24.7,20.9,9.3,15.3,54.9,235.9,208.5,115.9,21.1,4.3,14.5,752
PUNJAB,RUPNAGAR,41.6,38.9,51.2,14.7,25.6,65.4,291,252.9,119.2,19.7,13.2,23.1,956.5
PUNJAB,SANGRUR,18.3,19.3,15.9,10.4,18.7,44.8,160.5,145.8,85.7,20.4,4.7,12.9,557.4
PUNJAB,FARIDKOT,16.1,14.3,17,8.1,13.9,36,120,103.8,65.3,9.8,3.8,7.5,415.6
PUNJAB,MOGA,21.3,13.4,15,9.7,15.7,33.7,123,133.5,63.8,20.9,3.1,7.5,460.6
PUNJAB,NAWANSHAHR,38.8,39.9,38.6,15.9,19.2,85.3,309.6,254.9,138.8,29.6,10.1,24.9,1005.6
PUNJAB,FATEHGARH SAH,24.9,21.8,22.6,10,13.7,45.6,220.6,174.6,106.3,18.9,7.1,17,683.1
PUNJAB,MUKTSAR,16.7,12.7,18.2,7,10.9,31.2,113,107.5,60.1,11.2,3.5,7.5,399.5
PUNJAB,MANSA,12.3,18.4,11.3,7.2,8.9,30.3,110.9,122.8,70.8,18.2,2.4,6.3,419.8
PUNJAB,BARNALA,14.7,16.9,10,11.5,9.6,30.3,129.4,117.5,78.4,18.3,3.9,8.9,449.4
PUNJAB,SAS NAGAR(MGA),33.4,24.7,29.5,13.8,24.6,68.8,241.8,216.6,117.3,20.2,7.3,20.7,818.7
PUNJAB,TARN TARAN,18,18.3,21.5,10.4,12.4,23.5,133.6,111.4,68.3,17.8,4.5,9.5,449.2
